,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,XY (CABA),pos x,pos y,VICTIMA,ACUSADO
493,2019-0077,1,2019-09-08,2019,9,8,3,AVENIDA,Point (105980.99138544 105385.93253091),-58.39811256,-34.58070186,PEATON,AUTO
494,2019-0078,1,2019-09-12,2019,9,12,8,AVENIDA,Point (104770.59856807 97235.72066953),-58.41125934,-34.6541774,PEATON,CARGAS
495,2019-0079,1,2019-09-17,2019,9,17,5,CALLE,Point (104133.42235616 101175.18161468),-58.41822901,-34.61866836,MOTO,PASAJEROS
496,2019-0080,1,2019-09-17,2019,9,17,18,GRAL PAZ,Point (98817.74986778 110096.31367495),-58.47617802,-34.53825652,PEATON,MOTO
497,2019-0081,1,2019-09-23,2019,9,23,16,AVENIDA,Point (100173.09831701 104773.73030321),-58.46141281,-34.58623761,PEATON,PASAJEROS
498,2019-0082,1,2019-09-25,2019,9,25,7,AVENIDA,Point (103065.99442998 96457.67469916),-58.42985146,-34.6611974,BICICLETA,CARGAS
499,2019-0083,1,2019-09-26,2019,9,26,8,CALLE,Point (98049.89254647 96769.28504384),-58.48457413,-34.6583909,AUTO,AUTO
500,2019-0084,1,2019-09-27,2019,9,27,11,CALLE,Point (99777.28948169 99222.14556838),-58.46572884,-34.63628186,BICICLETA,CARGAS
501,2019-0085,1,2019-10-09,2019,10,9,22,CALLE,Point (97311.79828581 99453.65686299),-58.49261744,-34.6341913,BICICLETA,TREN
502,2019-0086,1,2019-10-15,2019,10,15,14,AVENIDA,Point (100960.33601283 104532.07598431),-58.45283186,-34.5884156,MOTO,PASAJEROS
503,2019-0087,1,2019-10-21,2019,10,21,21,AVENIDA,Point (98491.73236150 106110.45743791),-58.47973681,-34.57418656,MOTO,MOTO
504,2019-0088,1,2019-10-22,2019,10,22,20,AVENIDA,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,PEATON,PASAJEROS
505,2019-0089,1,2019-10-23,2019,10,23,15,AVENIDA,Point (109247.85081573 99794.76658137),-58.36244648,-34.63107887,PEATON,CARGAS
506,2019-0090,1,2019-10-24,2019,10,24,18,AVENIDA,Point (96669.91669285 97846.12432372),-58.49962423,-34.64868027,PEATON,MOTO
507,2019-0091,1,2019-11-01,2019,11,1,20,AVENIDA,Point (101631.52816900 103735.20218464),-58.44551437,-34.59559816,PEATON,PASAJEROS
508,2019-0092,1,2019-11-03,2019,11,3,10,CALLE,Point (109831.09861352 99447.57530396),-58.35608181,-34.63420319,PEATON,PASAJEROS
509,2019-0093,1,2019-11-13,2019,11,13,11,AVENIDA,Point (99859.01807773 102240.12407554),-58.46483679,-34.60907662,BICICLETA,OTRO
510,2019-0094,1,2019-11-18,2019,11,18,14,CALLE,Point (101799.19412891 103552.67600212),-58.44368628,-34.59724326,MOTO,OTRO
511,2019-0095,1,2019-11-20,2019,11,20,15,AUTOPISTA,Point (107762.62066755 100018.90176184),-58.37864583,-34.62907067,MOTO,CARGAS
512,2019-0096,1,2019-11-22,2019,11,22,19,AVENIDA,Point (108041.76772318 100219.10582069),-58.37560352,-34.62726382,PEATON,PASAJEROS
513,2019-0097,1,2019-11-25,2019,11,25,8,AUTOPISTA,Point (98724.36593359 97905.39654686),-58.47721439,-34.64815069,MOTO,MULTIPLE
514,2019-0098,1,2019-11-25,2019,11,25,14,AVENIDA,Point (101097.15913487 104373.72916577),-58.45134029,-34.58984288,PASAJEROS,PASAJEROS
515,2019-0100,1,2019-12-05,2019,12,5,17,AVENIDA,Point (97512.85370485 105056.21473822),-58.49040794,-34.58368803,MOTO,AUTO
516,2019-0101,1,2019-12-17,2019,12,17,4,AVENIDA,Point (103875.40694167 97709.33732832),-58.42102679,-34.64991178,MOTO,MOTO
517,2019-0102,1,2019-12-17,2019,12,17,14,CALLE,Point (94600.31582329 98648.40911008),-58.52219407,-34.64143926,MOTO,AUTO
518,2019-0103,1,2019-12-18,2019,12,18,0,GRAL PAZ,Point (94643.11254058 103831.57115061),-58.52169422,-34.5947164,MOTO,MOTO
519,2019-0104,1,2019-12-21,2019,12,21,4,AVENIDA,Point (98963.45381519 99690.23941640),-58.47460416,-34.63206174,MOTO,AUTO
520,2019-0105,1,2019-05-05,2019,5,5,11,AVENIDA,Point (96164.17004077 101559.58637156),-58.50512382,-34.61520391,PEATON,AUTO
521,2020-0001,1,2020-01-04,2020,1,4,10,CALLE,Point (102219.66522967 104119.42339682),-58.43910409,-34.59213355,PEATON,AUTO
522,2020-0002,1,2020-01-05,2020,1,5,20,AVENIDA,Point (101201.50959665 98092.52358781),-58.45019436,-34.64646409,MOTO,OBJETO FIJO
523,2020-0003,1,2020-01-11,2020,1,11,6,AVENIDA,Point (106413.35913221 102215.84332055),-58.39337644,-34.60927582,PEATON,AUTO
524,2020-0004,1,2020-01-14,2020,1,14,21,AVENIDA,Point (106672.04348602 102224.86809233),-58.39055614,-34.60919284,PEATON,PASAJEROS
525,2020-0005,1,2020-01-14,2020,1,14,6,AVENIDA,Point (104853.84131654 100497.93573387),-58.41036975,-34.62477021,MOTO,PASAJEROS
526,2020-0006,1,2020-01-20,2020,1,20,12,AVENIDA,Point (101287.27262066 97242.60480808),-58.44925765,-34.65412546,MOTO,CARGAS
527,2020-0007,1,2020-01-27,2020,1,27,0,CALLE,Point (107495.74012081 101415.07897373),-58.3815685,-34.61648696,PEATON,MOTO
528,2020-0008,1,2020-01-30,2020,1,30,7,AVENIDA,Point (105198.52795163 103462.44828321),-58.40662899,-34.59804521,MOTO,CARGAS
529,2020-0009,1,2020-02-04,2020,2,4,14,CALLE,Point (103984.76403716 102579.64869142),-58.41985649,-34.6060085,PEATON,AUTO
530,2020-0010,1,2020-02-08,2020,2,8,5,AVENIDA,Point (107547.52290950 100786.86705692),-58.38099833,-34.62214953,MOTO,OBJETO FIJO
531,2020-0011,1,2020-02-12,2020,2,12,11,CALLE,Point (104151.41161599 101223.60584703),-58.41803309,-34.61823178,MOTO,CARGAS
532,2020-0012,1,2020-02-18,2020,2,18,21,CALLE,Point (105251.32172099 101267.01010190),-58.40604003,-34.61783553,PEATON,MOTO
533,2020-0013,1,2020-02-20,2020,2,20,12,AVENIDA,Point (98880.64164625 105472.20084776),-58.47549929,-34.57994061,PEATON,MOTO
534,2020-0014,1,2020-02-27,2020,2,27,2,CALLE,Point (95351.54075716 101470.48982187),-58.51398484,-34.61600366,MOTO,PASAJEROS
535,2020-0015,1,2020-02-28,2020,2,28,14,AVENIDA,Point (108741.48238670 100448.08502809),-58.36797542,-34.62519403,MOTO,PASAJEROS
536,2020-0016,1,2020-02-29,2020,2,29,13,AVENIDA,Point (108435.94625268 103377.11105009),-58.37133616,-34.59879316,PEATON,PASAJEROS
537,2020-0017,1,2020-03-05,2020,3,5,23,AVENIDA,Point (106159.7089575 101676.89316862),-58.39613805,-34.61413568,PEATON,AUTO
